OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,x,y
1,0.116357453189,0.0007823067885,Newark Airport,1,EWR,-74.17400027276298,40.69183120640149
2,0.43346966679,0.00486634037837,Jamaica Bay,2,Queens,-73.83129854302214,40.61674529165988
3,0.0843411059012,0.000314414156821,Allerton/Pelham Gardens,3,Bronx,-73.84742223236718,40.86447368477543
4,0.0435665270921,0.000111871946192,Alphabet City,4,Manhattan,-73.97696825691767,40.72375214158478
5,0.0921464898574,0.000497957489363,Arden Heights,5,Staten Island,-74.18848410184931,40.552659286945655
6,0.150490542523,0.000606460984581,Arrochar/Fort Wadsworth,6,Staten Island,-74.07177055895137,40.60032414603462
7,0.107417171123,0.000389787989274,Astoria,7,Queens,-73.91969431946073,40.76149256216376
8,0.0275906911574,2.6587716279e-05,Astoria Park,8,Queens,-73.9230861575075,40.778558653750714
9,0.0997840924705,0.000338443803197,Auburndale,9,Queens,-73.7879488777789,40.751035025572364
10,0.0998394794152,0.000435823818081,Baisley Park,10,Queens,-73.79098635986959,40.67895331011525
11,0.0792110389596,0.00026452053504,Bath Beach,11,Brooklyn,-74.00748815801178,40.60427284003079
12,0.0366613013579,4.15116236727e-05,Battery Park,12,Manhattan,-74.01556351255896,40.702945834984696
13,0.0502813228631,0.000149358592917,Battery Park City,13,Manhattan,-74.01607915192938,40.712038157074545
14,0.175213698053,0.00138177826442,Bay Ridge,14,Brooklyn,-74.0298923741879,40.62483492360817
15,0.14433622262,0.000925219395547,Bay Terrace/Fort Totten,15,Queens,-73.78597227877711,40.78333304726102
16,0.141291873771,0.000871889446182,Bayside,16,Queens,-73.77342181890141,40.76273837544241
17,0.093522632948,0.000322957654799,Bedford,17,Brooklyn,-73.9499050350751,40.691507494880625
18,0.0697995498569,0.000148850163948,Bedford Park,18,Bronx,-73.89018328872034,40.86768245607538
19,0.101824875452,0.000546661094782,Bellerose,19,Queens,-73.72665537528707,40.73548677976333
20,0.0514401924362,0.000134512633032,Belmont,20,Bronx,-73.8858674810697,40.85777967544162
21,0.115973569062,0.000380251345507,Bensonhurst East,21,Brooklyn,-73.98353709672227,40.601429439835165
22,0.126170229196,0.000472062684608,Bensonhurst West,22,Brooklyn,-73.99525857986234,40.612218257805644
23,0.290556028962,0.00219556576201,Bloomfield/Emerson Hill,23,Staten Island,-74.17088688155235,40.60644770102743
24,0.0469999619287,6.07235737749e-05,Bloomingdale,24,Manhattan,-73.96547951516968,40.80197049389964
25,0.0471458199319,0.000124168267356,Boerum Hill,25,Brooklyn,-73.98611382213659,40.685633741320636
26,0.12354780707,0.000534039927626,Borough Park,26,Brooklyn,-73.98866123078287,40.630949655245495
27,0.202508808518,0.00134088762746,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90690832237574,40.55913327946748
28,0.097960782214,0.000291203927662,Briarwood/Jamaica Hills,28,Queens,-73.80872901637521,40.7115963579451
29,0.0714083127733,0.000201673837402,Brighton Beach,29,Brooklyn,-73.9612167686685,40.58092197193379
30,0.0945097669793,0.000145862107626,Broad Channel,30,Queens,-73.82192695679416,40.60368744213562
31,0.0964245666516,0.000333975927329,Bronx Park,31,Bronx,-73.87547595053036,40.85774668091587
32,0.05426721601,0.000150879171971,Bronxdale,32,Bronx,-73.86490099876715,40.864002206023585
33,0.0532702931967,0.000147416802448,Brooklyn Heights,33,Brooklyn,-73.99525011996624,40.69579822121125
34,0.0657059323545,0.000173946146651,Brooklyn Navy Yard,34,Brooklyn,-73.97118869233036,40.70085573851709
35,0.085787918592,0.000323825195932,Brownsville,35,Brooklyn,-73.91025783136129,40.664003117925944
36,0.0870507867063,0.000247666139269,Bushwick North,36,Brooklyn,-73.91771053131575,40.700522199519156
37,0.142810040466,0.000452062644782,Bushwick South,37,Brooklyn,-73.92224002165713,40.6949943184421
38,0.0832175685234,0.000327392684821,Cambria Heights,38,Queens,-73.7355542705883,40.69434146723175
39,0.132369620757,0.00090028293862,Canarsie,39,Brooklyn,-73.899734956694,40.6380371391171
40,0.0518506648762,0.000108949211644,Carroll Gardens,40,Brooklyn,-73.99595619089148,40.679199014097094
41,0.052793109453,0.000143093037737,Central Harlem,41,Manhattan,-73.9512920024351,40.8043339497946
42,0.0927092274616,0.000263896952605,Central Harlem North,42,Manhattan,-73.9407716675627,40.81825786111926
43,0.0997386183576,0.000379662912054,Central Park,43,Manhattan,-73.96555356545912,40.78247809974788
44,0.235688967594,0.00194465649192,Charleston/Tottenville,44,Staten Island,-74.23353354937639,40.525494581763745
45,0.0459068626235,9.13594688556e-05,Chinatown,45,Manhattan,-73.99815149899052,40.71245931177951
46,0.134475429879,0.000926391677672,City Island,46,Bronx,-73.78198714613227,40.84908594313968
47,0.0898275563294,0.000163198117339,Claremont/Bathgate,47,Bronx,-73.90031590586491,40.84274917609798
48,0.0437467441431,9.42538425377e-05,Clinton East,48,Manhattan,-73.98984464313301,40.76225275531936
49,0.0752900183427,0.000203185525471,Clinton Hill,49,Brooklyn,-73.96236353818358,40.68796745714742
50,0.0557479867536,0.000173249283326,Clinton West,50,Manhattan,-73.99513522075519,40.7662377250419
51,0.0953613442277,0.000395756553505,Co-Op City,51,Bronx,-73.82826367307189,40.87397305492025
52,0.0289076710093,4.52027509603e-05,Cobble Hill,52,Brooklyn,-73.99672403175191,40.68665124165606
53,0.161500913385,0.000947530980821,College Point,53,Queens,-73.8428134954316,40.780912355791045
54,0.0762192448554,0.000132452130536,Columbia Street,54,Brooklyn,-74.00291127745285,40.68720074733731
55,0.149956807524,0.000736274713586,Coney Island,55,Brooklyn,-73.98794343407205,40.576960753637856
56,0.0568478126677,0.000180907844436,Corona,56,Queens,-73.85884524943998,40.74140677482975
57,0.0192705048557,1.80259807917e-05,Corona,56,Queens,-73.85358156034266,40.75181936699948
58,0.0598554094851,0.000204980931361,Country Club,58,Bronx,-73.82039319252783,40.84145210068253
59,0.0377948070893,6.28765230648e-05,Crotona Park,59,Bronx,-73.8949858849397,40.83855028852789
60,0.0786482878226,0.000161833284912,Crotona Park East,60,Bronx,-73.88590003419165,40.833990477273886
61,0.117310808097,0.000510772092295,Crown Heights North,61,Brooklyn,-73.93928705867964,40.67446941826648
62,0.0822593359838,0.000158238169004,Crown Heights South,62,Brooklyn,-73.94878853931499,40.66654040578563
63,0.119100721883,0.000353190910142,Cypress Hills,63,Brooklyn,-73.87817261050252,40.68383976195104
64,0.18445188474,0.00105790284614,Douglaston,64,Queens,-73.7393371499286,40.76061560532149
65,0.0446070683658,8.1803882541e-05,Downtown Brooklyn/MetroTech,65,Brooklyn,-73.986086004984,40.69533752946116
66,0.0546334593634,0.000108378855948,DUMBO/Vinegar Hill,66,Brooklyn,-73.98570161582296,40.70225893882254
67,0.0997470781551,0.000394282272487,Dyker Heights,67,Brooklyn,-74.0138014874401,40.61961946783514
68,0.0493373795569,0.000111073378655,East Chelsea,68,Manhattan,-73.99991742024714,40.74842755506573
69,0.0789896450483,0.00019905160381,East Concourse/Concourse Village,69,Bronx,-73.91502929553265,40.83141669708519
70,0.0638403183367,0.000195458476728,East Elmhurst,70,Queens,-73.86839559842024,40.76335220113315
71,0.0931694551828,0.000382572587364,East Flatbush/Farragut,71,Brooklyn,-73.9379662706169,40.64428817438918
72,0.0952020695166,0.000323532461947,East Flatbush/Remsen Village,72,Brooklyn,-73.9222509740049,40.6523648040774
73,0.0853020209129,0.000291799754395,East Flushing,73,Queens,-73.80729418212229,40.75410888689295
74,0.11029093625,0.000295038418204,East Harlem North,74,Manhattan,-73.93734560812489,40.80116948058649
75,0.0876638997685,0.00024056392715,East Harlem South,75,Manhattan,-73.94575026755159,40.79001075149541
76,0.241203016269,0.00126660143241,East New York,76,Brooklyn,-73.87682061127181,40.66093519655055
77,0.075461081444,0.000191917981315,East New York/Pennsylvania Avenue,77,Brooklyn,-73.89536411750326,40.66655893903527
78,0.0935944495806,0.000191114419551,East Tremont,78,Bronx,-73.88552181587426,40.84496041014609
79,0.0426249113144,0.000107893068218,East Village,79,Manhattan,-73.98593745682462,40.72762019590953
80,0.117212621448,0.00040732245622,East Williamsburg,80,Brooklyn,-73.93679314491885,40.71536988214352
81,0.197592771731,0.00039956655019,Eastchester,81,Bronx,-73.83664334408296,40.88093541148937
82,0.119875649697,0.000323601079994,Elmhurst,82,Queens,-73.87711833280913,40.73949564677818
83,0.105984933269,0.000217463718718,Elmhurst/Maspeth,83,Queens,-73.89217338112863,40.738323813825986
84,0.233623987032,0.00207375572052,Eltingville/Annadale/Prince's Bay,84,Staten Island,-74.18767433468837,40.52868644656625
85,0.0574751473562,0.000143637804933,Erasmus,85,Brooklyn,-73.9516231826101,40.64611634689506
86,0.134245282582,0.000623278815249,Far Rockaway,86,Queens,-73.75524369679577,40.60243279341666
87,0.0369015496117,6.72050210692e-05,Financial District North,87,Manhattan,-74.00749598562427,40.70680845166583
88,0.0352046035327,5.72999455414e-05,Financial District South,88,Manhattan,-74.01151502922319,40.703357903236146
89,0.122794569553,0.000447548142373,Flatbush/Ditmas Park,89,Brooklyn,-73.96096824906378,40.63790012347377
90,0.0307591620819,5.53132476305e-05,Flatiron,90,Manhattan,-73.99697141558369,40.7422786290123
91,0.124996624585,0.000537330013243,Flatlands,91,Brooklyn,-73.93009701219941,40.626272763336395
92,0.117830066799,0.000374946617289,Flushing,92,Queens,-73.82885869884258,40.76110218983439
93,0.170998027597,0.000594278183978,Flushing Meadows-Corona Park,93,Queens,-73.84086726234156,40.74067587216071
94,0.0498326083147,6.25819407393e-05,Fordham South,94,Bronx,-73.89953593442145,40.85815519618402
95,0.113629605476,0.00057277033803,Forest Hills,95,Queens,-73.84766941187517,40.72143227502133
96,0.185180248095,0.000547566253402,Forest Park/Highland Park,96,Queens,-73.87155842518158,40.69700061310115
97,0.0624760147423,0.000163303970435,Fort Greene,97,Brooklyn,-73.97488208618897,40.690786794210915
98,0.121661018278,0.000485773020954,Fresh Meadows,98,Queens,-73.77725346665984,40.734462628200944
99,0.1833714893,0.00121016463877,Freshkills Park,99,Staten Island,-74.18641851305901,40.57677363548704
100,0.0248131090342,3.74700210291e-05,Garment District,100,Manhattan,-73.9887865991153,40.75351275872571
101,0.101709836277,0.000452342528877,Glen Oaks,101,Queens,-73.71102598691238,40.74599381838421
102,0.136900484646,0.000296595466345,Glendale,102,Queens,-73.87573576709774,40.703545610762895
103,0.0143055167343,6.33056361314e-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04528829364003,40.6898601036602
104,0.0212208330928,1.19205339715e-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.04077076873652,40.69876867362614
105,0.0774253398314,0.000368636392805,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,-74.01907272636844,40.688784238613
106,0.0492110119798,0.000113616826567,Gowanus,106,Brooklyn,-73.9906472736312,40.673512796860756
107,0.0380413645908,7.46112192675e-05,Gramercy,107,Manhattan,-73.98405213268914,40.73682405761896
108,0.11117141227,0.000352866009465,Gravesend,108,Brooklyn,-73.98143115020045,40.58840346529031
109,0.178267819599,0.00116960076185,Great Kills,109,Staten Island,-74.15088980760541,40.551862998077084
110,0.103946292913,0.000525745098785,Great Kills Park,110,Staten Island,-74.12834244237273,40.54578031659564
111,0.0599308800658,0.000208683276503,Green-Wood Cemetery,111,Brooklyn,-73.99023450433016,40.652137270419054
112,0.107267875765,0.000462068671429,Greenpoint,112,Brooklyn,-73.94954030482211,40.72950628420882
113,0.032745350566,5.79634566998e-05,Greenwich Village North,113,Manhattan,-73.99430477051165,40.73257907302701
114,0.0317270347711,4.70207704945e-05,Greenwich Village South,114,Manhattan,-73.99738026020042,40.72834039137229
115,0.116169413964,0.000373168991958,Grymes Hill/Clifton,115,Staten Island,-74.08783880974957,40.61797137588928
116,0.0681164844265,0.000260415337217,Hamilton Heights,116,Manhattan,-73.94852173020878,40.827012654925355
117,0.169885857987,0.00090429427072,Hammels/Arverne,117,Queens,-73.78962208250061,40.59405875281404
118,0.243966217692,0.00182693922711,Heartland Village/Todt Hill,118,Staten Island,-74.13297872511704,40.586554626626274
119,0.0835070355744,0.000185779447534,Highbridge,119,Bronx,-73.92615723620794,40.837826991698876
120,0.0832612702158,9.31462821313e-05,Highbridge Park,120,Manhattan,-73.93018219742835,40.846667748302735
121,0.0969153373445,0.000384563286473,Hillcrest/Pomonok,121,Queens,-73.80244428186224,40.72833332297309
122,0.0665318439446,0.000226597104976,Hollis,122,Queens,-73.76113699730598,40.71063928425106
123,0.0834211389387,0.000296445173366,Homecrest,123,Brooklyn,-73.96433367133902,40.59995429251393
124,0.127724410062,0.000754837821479,Howard Beach,124,Queens,-73.8449185843854,40.65824796123047
125,0.0497322121757,7.64293209892e-05,Hudson Sq,125,Manhattan,-74.0074858180095,40.72629041028122
126,0.12994872606,0.0007032738273,Hunts Point,126,Bronx,-73.88553752149436,40.81207445859211
127,0.0600188855815,0.000163195647796,Inwood,127,Manhattan,-73.91930823586206,40.86607500072785
128,0.0702090290681,0.000207405982869,Inwood Hill Park,128,Manhattan,-73.92436981716106,40.87237880957364
